 server   | 2023-11-06 21:43:02,016 DEBUG    Sent message '137 3789' to 127.0.0.1:54842
 server   | 2023-11-06 21:43:02,016 DEBUG    Sent message '137 3789' to 127.0.0.1:54364
 server   | 2023-11-06 21:43:02,116 DEBUG    Sent message '138 3559' to 127.0.0.1:54842
 server   | 2023-11-06 21:43:02,116 DEBUG    Sent message '138 3559' to 127.0.0.1:54364
 server   | 2023-11-06 21:43:02,217 DEBUG    Sent message '139 3568' to 127.0.0.1:54842
 server   | 2023-11-06 21:43:02,217 DEBUG    Sent message '139 3568' to 127.0.0.1:54364
 server   | 2023-11-06 21:43:02,317 DEBUG    Sent message '140 3360' to 127.0.0.1:54842
 server   | 2023-11-06 21:43:02,317 DEBUG    Sent message '140 3360' to 127.0.0.1:54364
 server   | 2023-11-06 21:43:02,417 DEBUG    Sent message '141 3016' to 127.0.0.1:54842
 server   | 2023-11-06 21:43:02,418 DEBUG    Sent message '141 3016' to 127.0.0.1:54364
 server   | 2023-11-06 21:43:02,518 DEBUG    Sent message '142 3373' to 127.0.0.1:54842
 server   | 2023-11-06 21:43:02,518 DEBUG    Sent message '142 3373' to 127.0.0.1:54364
 server   | 2023-11-06 21:43:02,618 DEBUG    Sent message '143 0' to 127.0.0.1:54842
 server   | 2023-11-06 21:43:02,618 DEBUG    Sent message '143 0' to 127.0.0.1:54364
 server   | 2023-11-06 21:43:02,718 DEBUG    Sent message '144 0' to 127.0.0.1:54842
 server   | 2023-11-06 21:43:02,719 DEBUG    Sent message '144 0' to 127.0.0.1:54364
 server   | 2023-11-06 21:43:02,819 DEBUG    Sent message '145 0' to 127.0.0.1:54842
 server   | 2023-11-06 21:43:02,819 DEBUG    Sent message '145 0' to 127.0.0.1:54364
 server   | 2023-11-06 21:43:02,919 DEBUG    Sent message '146 0' to 127.0.0.1:54842
 server   | 2023-11-06 21:43:02,919 DEBUG    Sent message '146 0' to 127.0.0.1:54364
 server   | 2023-11-06 21:43:03,020 DEBUG    Sent message '147 0' to 127.0.0.1:54842
 server   | 2023-11-06 21:43:03,020 DEBUG    Sent message '147 0' to 127.0.0.1:54364
 server   | 2023-11-06 21:43:03,120 DEBUG    Sent message '148 0' to 127.0.0.1:54842
 server   | 2023-11-06 21:43:03,120 DEBUG    Sent message '148 0' to 127.0.0.1:54364
 server   | 2023-11-06 21:43:03,220 DEBUG    Sent message '149 0' to 127.0.0.1:54842
 server   | 2023-11-06 21:43:03,221 DEBUG    Sent message '149 0' to 127.0.0.1:54364
 server   | 2023-11-06 21:43:03,321 DEBUG    Sent message '150 3584' to 127.0.0.1:54842
 server   | 2023-11-06 21:43:03,321 DEBUG    Sent message '150 3584' to 127.0.0.1:54364
